id,level,block,trial,levelCounts,targetKey,targetLevel,pressedLevel,pressedRaw,isSuccessful,startTime,endTime,time
2,0,0,0,4,S,mediumHigh,full,255,False,1771967080743,1771967082009,1266
2,0,0,1,4,Semicolon,mediumLow,full,255,False,1771967082019,1771967087078,5059
2,0,0,2,4,D,mediumHigh,light,30,False,1771967087089,1771967089143,2054
2,0,0,3,4,A,full,full,255,True,1771967089153,1771967090328,1175
2,0,0,4,4,K,mediumLow,full,255,False,1771967090337,1771967093254,2917
2,0,0,5,4,D,mediumLow,full,255,False,1771967093262,1771967097879,4617
2,0,0,6,4,F,mediumHigh,full,255,False,1771967097888,1771967099073,1185
2,0,0,7,4,L,light,mediumHigh,228,False,1771967099083,1771967101104,2021
2,0,0,8,4,J,mediumHigh,full,255,False,1771967101112,1771967103525,2413
2,0,0,9,4,Semicolon,full,full,255,True,1771967103534,1771967105543,2009
2,0,0,10,4,D,light,mediumHigh,214,False,1771967105553,1771967106609,1056
2,0,0,11,4,Semicolon,mediumHigh,full,255,False,1771967106618,1771967108327,1709
2,0,0,12,4,J,full,full,255,True,1771967108336,1771967110187,1851
2,0,0,13,4,K,light,full,255,False,1771967110195,1771967111563,1368
2,0,0,14,4,J,light,full,255,False,1771967111573,1771967113134,1561
2,0,0,15,4,S,light,full,255,False,1771967113144,1771967114031,887
2,0,0,16,4,L,mediumHigh,mediumLow,135,False,1771967114040,1771967115292,1252
2,0,0,17,4,F,mediumLow,full,255,False,1771967115302,1771967117441,2139
2,0,0,18,4,F,full,full,255,True,1771967117450,1771967119070,1620
2,0,0,19,4,A,mediumLow,full,255,False,1771967119081,1771967120482,1401
2,0,0,20,4,S,mediumLow,full,255,False,1771967120491,1771967122338,1847
2,0,0,21,4,Semicolon,light,light,63,True,1771967122348,1771967123818,1470
2,0,0,22,4,L,mediumLow,full,255,False,1771967123826,1771967125961,2135
2,0,0,23,4,L,full,full,255,True,1771967125972,1771967127746,1774
2,0,0,24,4,A,mediumHigh,full,255,False,1771967127754,1771967129070,1316
2,0,0,25,4,F,light,full,255,False,1771967129078,1771967130296,1218
2,0,0,26,4,K,mediumHigh,full,255,False,1771967130305,1771967133385,3080
2,0,0,27,4,J,mediumLow,mediumHigh,205,False,1771967133394,1771967135139,1745
2,0,0,28,4,K,full,full,255,True,1771967135149,1771967137429,2280
2,0,0,29,4,A,light,full,255,False,1771967137439,1771967139093,1654
2,0,0,30,4,D,full,full,255,True,1771967139104,1771967140461,1357
2,0,0,31,4,S,full,full,255,True,1771967140471,1771967141526,1055
2,0,1,0,4,F,light,full,255,False,1771967169985,1771967171195,1210
2,0,1,1,4,L,mediumHigh,mediumLow,123,False,1771967171204,1771967172387,1183
2,0,1,2,4,J,light,light,61,True,1771967172396,1771967173616,1220
2,0,1,3,4,S,full,full,255,True,1771967173624,1771967174775,1151
2,0,1,4,4,A,light,mediumLow,169,False,1771967174785,1771967176331,1546
2,0,1,5,4,F,mediumHigh,full,255,False,1771967176339,1771967178021,1682
2,0,1,6,4,J,mediumHigh,full,255,False,1771967178030,1771967180279,2249
2,0,1,7,4,Semicolon,light,mediumLow,169,False,1771967180290,1771967182064,1774
2,0,1,8,4,L,full,full,255,True,1771967182074,1771967183615,1541
2,0,1,9,4,J,full,full,255,True,1771967183624,1771967185362,1738
2,0,1,10,4,Semicolon,mediumHigh,mediumHigh,233,True,1771967185371,1771967186682,1311
2,0,1,11,4,S,mediumHigh,full,255,False,1771967186691,1771967187949,1258
2,0,1,12,4,K,mediumLow,full,255,False,1771967187959,1771967190108,2149
2,0,1,13,4,S,mediumLow,full,255,False,1771967190118,1771967191247,1129
2,0,1,14,4,A,mediumLow,full,255,False,1771967191258,1771967192134,876
2,0,1,15,4,D,full,full,255,True,1771967192143,1771967193882,1739
2,0,1,16,4,K,full,full,255,True,1771967193891,1771967195410,1519
2,0,1,17,4,A,full,full,255,True,1771967195420,1771967196627,1207
2,0,1,18,4,Semicolon,mediumLow,mediumLow,171,True,1771967196636,1771967198035,1399
2,0,1,19,4,D,light,mediumLow,149,False,1771967198046,1771967199517,1471
2,0,1,20,4,Semicolon,full,full,255,True,1771967199525,1771967201151,1626
2,0,1,21,4,A,mediumHigh,full,255,False,1771967201162,1771967202594,1432
2,0,1,22,4,K,mediumHigh,full,255,False,1771967202604,1771967205181,2577
2,0,1,23,4,F,mediumLow,mediumLow,155,True,1771967205191,1771967206975,1784
2,0,1,24,4,K,light,full,255,False,1771967206983,1771967210338,3355
2,0,1,25,4,L,mediumLow,full,255,False,1771967210347,1771967214964,4617
2,0,1,26,4,D,mediumHigh,full,255,False,1771967216311,1771967217667,1356
2,0,1,27,4,J,mediumLow,mediumLow,177,True,1771967217676,1771967220213,2537
2,0,1,28,4,L,light,full,255,False,1771967220225,1771967221488,1263
2,0,1,29,4,S,light,mediumHigh,247,False,1771967221498,1771967222461,963
2,0,1,30,4,F,full,full,255,True,1771967222470,1771967223693,1223
2,0,1,31,4,D,mediumLow,mediumHigh,206,False,1771967223702,1771967225059,1357
2,0,2,0,4,A,mediumHigh,mediumHigh,242,True,1771967232506,1771967233812,1306
2,0,2,1,4,K,mediumLow,full,255,False,1771967233820,1771967236880,3060
2,0,2,2,4,D,mediumLow,full,255,False,1771967236889,1771967238586,1697
2,0,2,3,4,Semicolon,mediumHigh,full,255,False,1771967238595,1771967240048,1453
2,0,2,4,4,F,mediumLow,full,255,False,1771967240056,1771967242399,2343
2,0,2,5,4,F,full,full,255,True,1771967242409,1771967244086,1677
2,0,2,6,4,S,mediumLow,mediumHigh,189,False,1771967244095,1771967246252,2157
2,0,2,7,4,K,mediumHigh,full,255,False,1771967246261,1771967247818,1557
2,0,2,8,4,J,full,full,255,True,1771967247827,1771967248992,1165
2,0,2,9,4,Semicolon,full,full,255,True,1771967249002,1771967251737,2735
2,0,2,10,4,S,full,full,255,True,1771967251746,1771967252716,970
2,0,2,11,4,J,light,light,69,True,1771967252726,1771967253887,1161
2,0,2,12,4,A,full,full,255,True,1771967253897,1771967255011,1114
2,0,2,13,4,L,mediumLow,mediumHigh,220,False,1771967255020,1771967256449,1429
2,0,2,14,4,D,full,full,255,True,1771967256459,1771967258225,1766
2,0,2,15,4,L,light,full,253,False,1771967258234,1771967259387,1153
2,0,2,16,4,J,mediumLow,mediumHigh,246,False,1771967259396,1771967260913,1517
2,0,2,17,4,D,mediumHigh,full,255,False,1771967260922,1771967262404,1482
2,0,2,18,4,S,mediumHigh,full,255,False,1771967262413,1771967263540,1127
2,0,2,19,4,A,mediumLow,mediumHigh,186,False,1771967263549,1771967265259,1710
2,0,2,20,4,K,light,full,255,False,1771967265270,1771967266458,1188
2,0,2,21,4,D,light,full,252,False,1771967266466,1771967267302,836
2,0,2,22,4,L,full,full,255,True,1771967267311,1771967268691,1380
2,0,2,23,4,Semicolon,light,light,29,True,1771967268701,1771967269617,916
2,0,2,24,4,F,light,light,39,True,1771967269626,1771967270426,800
2,0,2,25,4,K,full,full,255,True,1771967270434,1771967272162,1728
2,0,2,26,4,J,mediumHigh,mediumLow,131,False,1771967272170,1771967273584,1414
2,0,2,27,4,L,mediumHigh,full,255,False,1771967273593,1771967275925,2332
2,0,2,28,4,S,light,light,16,True,1771967275936,1771967276831,895
2,0,2,29,4,A,light,mediumLow,150,False,1771967276841,1771967277589,748
2,0,2,30,4,Semicolon,mediumLow,full,255,False,1771967277597,1771967278937,1340
2,0,2,31,4,F,mediumHigh,full,255,False,1771967278945,1771967281221,2276
2,0,3,0,4,F,mediumHigh,full,255,False,1771967288256,1771967289487,1231
2,0,3,1,4,D,full,full,255,True,1771967289496,1771967290524,1028
2,0,3,2,4,A,mediumLow,mediumLow,146,True,1771967290533,1771967291563,1030
2,0,3,3,4,J,full,full,255,True,1771967291572,1771967292626,1054
2,0,3,4,4,L,mediumHigh,mediumHigh,212,True,1771967292634,1771967294067,1433
2,0,3,5,4,Semicolon,mediumHigh,full,255,False,1771967294075,1771967295017,942
2,0,3,6,4,Semicolon,full,full,255,True,1771967295025,1771967296910,1885
2,0,3,7,4,K,mediumHigh,full,255,False,1771967296919,1771967299018,2099
2,0,3,8,4,Semicolon,mediumLow,mediumHigh,245,False,1771967299029,1771967300402,1373
2,0,3,9,4,F,light,mediumLow,130,False,1771967300412,1771967301297,885
2,0,3,10,4,K,light,mediumHigh,211,False,1771967301307,1771967302228,921
