id,level,block,trial,levelCounts,targetKey,targetLevel,pressedLevel,pressedRaw,isSuccessful,startTime,endTime,time
12,0,0,0,2,L,full,light,21,False,1772749785963,1772749789535,3572
12,0,0,1,2,J,light,light,173,True,1772749789853,1772749791863,2010
12,0,0,2,2,S,full,full,255,True,1772749791872,1772749793497,1625
12,0,0,3,2,Semicolon,light,full,255,False,1772749793818,1772749795983,2165
12,0,0,4,2,S,light,light,182,True,1772749795993,1772749797282,1289
12,0,0,5,2,Semicolon,full,full,255,True,1772749797610,1772749800897,3287
12,0,0,6,2,D,light,light,86,True,1772749800903,1772749802794,1891
12,0,0,7,2,A,light,light,96,True,1772749803118,1772749803939,821
12,0,0,8,2,D,full,full,255,True,1772749803947,1772749805298,1351
12,0,0,9,2,K,full,full,255,True,1772749805619,1772749807811,2192
12,0,0,10,2,A,full,full,255,True,1772749807820,1772749809255,1435
12,0,0,11,2,J,full,full,255,True,1772749809579,1772749810696,1117
12,0,0,12,2,F,full,full,255,True,1772749810703,1772749811836,1133
12,0,0,13,2,L,light,light,47,True,1772749812165,1772749813057,892
12,0,0,14,2,F,light,full,255,False,1772749813065,1772749814425,1360
12,0,0,15,2,K,light,light,236,True,1772749814739,1772749816754,2015
12,0,1,0,2,F,full,full,255,True,1772749830772,1772749832020,1248
12,0,1,1,2,S,light,light,111,True,1772749832028,1772749832830,802
12,0,1,2,2,L,full,full,255,True,1772749833153,1772749835548,2395
12,0,1,3,2,K,full,full,255,True,1772749835555,1772749836703,1148
12,0,1,4,2,J,light,light,102,True,1772749837019,1772749837636,617
12,0,1,5,2,F,light,full,255,False,1772749837644,1772749838453,809
12,0,1,6,2,A,full,full,255,True,1772749838769,1772749839813,1044
12,0,1,7,2,K,light,full,255,False,1772749839821,1772749841336,1515
12,0,1,8,2,D,light,full,255,False,1772749841647,1772749842741,1094
12,0,1,9,2,Semicolon,full,full,255,True,1772749842750,1772749844211,1461
12,0,1,10,2,Semicolon,light,full,255,False,1772749844529,1772749845475,946
12,0,1,11,2,J,full,light,44,False,1772749845483,1772749846485,1002
12,0,1,12,2,S,full,light,112,False,1772749846808,1772749848056,1248
12,0,1,13,2,A,light,full,250,False,1772749848064,1772749848940,876
12,0,1,14,2,L,light,light,195,True,1772749849252,1772749851458,2206
12,0,1,15,2,D,full,full,255,True,1772749851465,1772749853032,1567
12,0,2,0,2,L,full,full,255,True,1772749867464,1772749869506,2042
12,0,2,1,2,A,light,light,160,True,1772749869825,1772749871003,1178
12,0,2,2,2,F,full,full,255,True,1772749871011,1772749872424,1413
12,0,2,3,2,K,light,light,43,True,1772749872748,1772749874206,1458
12,0,2,4,2,L,light,light,120,True,1772749874215,1772749875497,1282
12,0,2,5,2,J,light,light,132,True,1772749875808,1772749876512,704
12,0,2,6,2,S,full,full,255,True,1772749876519,1772749878579,2060
12,0,2,7,2,D,full,full,255,True,1772749878891,1772749880172,1281
12,0,2,8,2,Semicolon,light,light,219,True,1772749880179,1772749881405,1226
12,0,2,9,2,K,full,full,255,True,1772749881718,1772749883234,1516
12,0,2,10,2,A,full,full,255,True,1772749883241,1772749884379,1138
12,0,2,11,2,F,light,light,229,True,1772749884693,1772749885617,924
12,0,2,12,2,D,light,light,222,True,1772749885627,1772749886468,841
12,0,2,13,2,Semicolon,full,full,255,True,1772749886791,1772749888334,1543
12,0,2,14,2,S,light,light,134,True,1772749888342,1772749889439,1097
12,0,2,15,2,J,full,light,21,False,1772749889756,1772749890670,914
12,0,3,0,2,S,light,light,111,True,1772749899248,1772749900318,1070
12,0,3,1,2,D,light,light,93,True,1772749900325,1772749901156,831
12,0,3,2,2,L,full,full,255,True,1772749901471,1772749903033,1562
12,0,3,3,2,K,light,light,45,True,1772749903041,1772749903802,761
12,0,3,4,2,Semicolon,full,full,255,True,1772749904119,1772749905265,1146
12,0,3,5,2,F,light,full,255,False,1772749905274,1772749906531,1257
