id,level,block,trial,levelCounts,targetKey,targetLevel,pressedLevel,pressedRaw,isSuccessful,startTime,endTime,time
16,0,0,0,3,L,medium,medium,173,True,1772822657275,1772822667606,10331
16,0,0,1,3,A,light,full,255,False,1772822667934,1772822670496,2562
16,0,0,2,3,F,medium,medium,221,True,1772822670503,1772822674047,3544
16,0,0,3,3,A,full,full,255,True,1772822674371,1772822676847,2476
16,0,0,4,3,S,full,light,30,False,1772822676857,1772822679170,2313
16,0,0,5,3,J,full,medium,100,False,1772822679483,1772822681752,2269
16,0,0,6,3,A,medium,full,255,False,1772822681760,1772822684128,2368
16,0,0,7,3,D,light,light,21,True,1772822684451,1772822686779,2328
16,0,0,8,3,F,light,medium,159,False,1772822686788,1772822689264,2476
16,0,0,9,3,F,full,medium,94,False,1772822689589,1772822691763,2174
16,0,0,10,3,D,medium,full,255,False,1772822691773,1772822693461,1688
16,0,0,11,3,Semicolon,full,light,56,False,1772822693780,1772822696389,2609
16,0,0,12,3,K,light,medium,228,False,1772822696399,1772822698192,1793
16,0,0,13,3,L,full,full,255,True,1772822698513,1772822700681,2168
16,0,0,14,3,J,medium,full,255,False,1772822700689,1772822704379,3690
16,0,0,15,3,D,full,full,255,True,1772822704702,1772822707002,2300
16,0,0,16,3,K,full,full,255,True,1772822707010,1772822709328,2318
16,0,0,17,3,Semicolon,light,full,255,False,1772822709657,1772822711128,1471
16,0,0,18,3,S,light,full,255,False,1772822711137,1772822715462,4325
16,0,0,19,3,L,light,full,255,False,1772822715781,1772822717460,1679
16,0,0,20,3,S,medium,full,255,False,1772822717468,1772822720739,3271
16,0,0,21,3,J,light,medium,149,False,1772822721051,1772822723971,2920
16,0,0,22,3,Semicolon,medium,medium,169,True,1772822723978,1772822729389,5411
16,0,0,23,3,K,medium,medium,120,True,1772822729709,1772822732241,2532
16,0,1,0,3,S,medium,full,254,False,1772822823016,1772822826809,3793
16,0,1,1,3,L,medium,full,254,False,1772822826818,1772822829723,2905
16,0,1,2,3,Semicolon,light,light,25,True,1772822830041,1772822831501,1460
16,0,1,3,3,L,light,medium,184,False,1772822831509,1772822833228,1719
16,0,1,4,3,L,full,full,255,True,1772822833554,1772822836217,2663
16,0,1,5,3,F,light,medium,229,False,1772822836226,1772822838740,2514
16,0,1,6,3,J,light,light,87,True,1772822839059,1772822841299,2240
16,0,1,7,3,A,full,full,255,True,1772822841307,1772822843437,2130
16,0,1,8,3,K,light,medium,148,False,1772822843755,1772822846245,2490
16,0,1,9,3,D,full,full,255,True,1772822846253,1772822848705,2452
16,0,1,10,3,D,light,light,20,True,1772822849023,1772822850320,1297
16,0,1,11,3,K,medium,medium,247,True,1772822850328,1772822855513,5185
16,0,1,12,3,S,light,light,81,True,1772822855837,1772822858084,2247
16,0,1,13,3,S,full,full,255,True,1772822858093,1772822859931,1838
16,0,1,14,3,J,full,full,255,True,1772822860251,1772822862233,1982
16,0,1,15,3,J,medium,medium,160,True,1772822862241,1772822864296,2055
16,0,1,16,3,D,medium,medium,212,True,1772822864608,1772822866774,2166
16,0,1,17,3,F,medium,medium,154,True,1772822866782,1772822868954,2172
16,0,1,18,3,A,medium,medium,104,True,1772822869275,1772822872084,2809
16,0,1,19,3,A,light,medium,198,False,1772822872091,1772822874770,2679
16,0,1,20,3,Semicolon,medium,medium,191,True,1772822875092,1772822878075,2983
16,0,1,21,3,F,full,full,255,True,1772822878084,1772822880752,2668
16,0,1,22,3,K,full,light,88,False,1772822881068,1772822881699,631
16,0,1,23,3,Semicolon,full,full,255,True,1772822881709,1772822885096,3387
16,0,2,0,3,L,full,full,255,True,1772822898038,1772822900648,2610
16,0,2,1,3,A,medium,light,16,False,1772822900655,1772822903028,2373
16,0,2,2,3,Semicolon,full,full,255,True,1772822903352,1772822905607,2255
16,0,2,3,3,J,light,medium,103,False,1772822905615,1772822907976,2361
16,0,2,4,3,A,light,light,78,True,1772822908299,1772822909957,1658
16,0,2,5,3,K,medium,medium,222,True,1772822909965,1772822913353,3388
16,0,2,6,3,S,full,full,255,True,1772822913675,1772822915980,2305
16,0,2,7,3,D,medium,medium,205,True,1772822915987,1772822918367,2380
16,0,2,8,3,L,light,light,77,True,1772822918688,1772822921496,2808
16,0,2,9,3,K,full,full,255,True,1772822921503,1772822923610,2107
16,0,2,10,3,F,medium,medium,232,True,1772822923931,1772822926113,2182
16,0,2,11,3,L,medium,full,255,False,1772822926122,1772822929671,3549
16,0,2,12,3,S,light,full,255,False,1772822929997,1772822932775,2778
16,0,2,13,3,D,light,medium,236,False,1772822932783,1772822934362,1579
16,0,2,14,3,J,medium,medium,146,True,1772822934683,1772822937316,2633
16,0,2,15,3,D,full,full,255,True,1772822937324,1772822939575,2251
