id,level,block,trial,levelCounts,targetKey,targetLevel,pressedLevel,pressedRaw,isSuccessful,startTime,endTime,time
10,0,0,0,3,J,full,full,255,True,1772568087046,1772568089295,2249
10,0,0,1,3,L,medium,medium,193,True,1772568089607,1772568095202,5595
10,0,0,2,3,S,full,full,255,True,1772568095211,1772568096943,1732
10,0,0,3,3,K,full,full,255,True,1772568097263,1772568098831,1568
10,0,0,4,3,J,light,medium,108,False,1772568098840,1772568100404,1564
10,0,0,5,3,A,light,medium,109,False,1772568100723,1772568103120,2397
10,0,0,6,3,F,medium,medium,153,True,1772568103127,1772568104891,1764
10,0,0,7,3,A,full,full,255,True,1772568105207,1772568106275,1068
10,0,0,8,3,Semicolon,full,full,255,True,1772568106284,1772568107731,1447
10,0,0,9,3,A,medium,medium,227,True,1772568108053,1772568110135,2082
10,0,0,10,3,D,light,medium,121,False,1772568110143,1772568111750,1607
10,0,0,11,3,Semicolon,light,medium,116,False,1772568112069,1772568113610,1541
10,0,0,12,3,D,medium,light,20,False,1772568113618,1772568115013,1395
10,0,0,13,3,F,full,full,255,True,1772568115326,1772568116270,944
10,0,0,14,3,S,light,medium,104,False,1772568116279,1772568117758,1479
10,0,0,15,3,K,medium,medium,124,True,1772568118070,1772568119526,1456
10,0,0,16,3,D,full,full,255,True,1772568119534,1772568120888,1354
10,0,0,17,3,L,full,medium,238,False,1772568121208,1772568122819,1611
10,0,0,18,3,F,light,medium,243,False,1772568122827,1772568124280,1453
10,0,0,19,3,J,medium,medium,211,True,1772568124593,1772568126462,1869
10,0,0,20,3,S,medium,medium,119,True,1772568126471,1772568127919,1448
10,0,0,21,3,K,light,medium,134,False,1772568128231,1772568129277,1046
10,0,0,22,3,Semicolon,medium,medium,163,True,1772568129286,1772568130678,1392
10,0,0,23,3,L,light,full,255,False,1772568130999,1772568133431,2432
10,0,1,0,3,Semicolon,light,medium,204,False,1772568149348,1772568151128,1780
10,0,1,1,3,J,full,full,255,True,1772568151139,1772568152232,1093
10,0,1,2,3,F,full,full,255,True,1772568152554,1772568153672,1118
10,0,1,3,3,D,medium,medium,120,True,1772568153680,1772568154788,1108
